id;name;description;imglink;portions;cookingtime
1;Spaghetti Bolognese;Description Från Arla - Gör en extra stor sats av allas vardagsfavorit, spagetti och köttfärssås, och frys in. Vill du variera smaken, prova med lamm- eller viltfärs istället för nötfärs!;https://images.unsplash.com/photo-1598866594230-a7c12756260f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1000&q=80;4;30
2;Boeuf Bourgnioun med potatismos;Description Från Arla - Sugen på något värmande? Laga boeuf bourguignon, även kallad burgundisk köttgryta, som värmer både kropp och själ! Den mustiga grytan med högrev, rött vin, sidfläsk, lök, champinjon och morot serveras med krämigt pot...;https://images.unsplash.com/photo-1608500218882-986df81d55fc?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80;6;60
3;Kycklingbullar i dragonsås;Description från ICA - Köttbullar gjorda på kycklingfärs med smak av dragon, citron och dijonsenap.;https://images.unsplash.com/photo-1584949602318-398849a6ea4e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=987&q=80;8;45
4;Wok med äggnudlar och fläskfilé;Description Från Arla - Fräscha grönsaker med salt, rökt fläsk eller skinka är jättegott tillsammans. Du behöver ingen wok för att lyckas med denna rätt, det går bra med en stor stekpanna.;https://cdn.pixabay.com/photo/2020/08/05/18/55/meal-5466163_960_720.jpg;4;30
5;Fisksoppa med citronmajonnäs;En fisksoppa gjord på paprika, morot och tomat samt räkor och sejfilé. Till detta serveras kokt potatis och en citronmayo med vitlök. Passar oerhört bra egentligen när som helst.;https://images.unsplash.com/photo-1605461682195-9fd4d079a41d?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTF8fGZpc2glMjBzb3VwfGVufDB8fDB8fA%3D%3D&ixlib=rb-1.2.1&w=1000&q=80;4;45
6;BBQ kotletter med het majssalsa;Kotletter med en rökig smak, tack vare hickory glaze! Ät ihop med en krämig majssalsa med lite hetta, fluffigt ris och små hintar av koriandern. Mumsfillibabba!;https://via.placeholder.com/800/FD7463/FFFFFF/?text=Picture%20Coming%20Soon;4;45
7;Pasta med grillad paprikaröra;Vi kan inte låta en vecka gå förbi utan ett nytt pastarecept! Här serveras det en matig röra innehållande allt från zucchini, sojabönor och grillad paprika. Ytterligare smak hittar du i salladslöken, mandelsplitter, tomater och oliver. Ja du hör ju själv, en ren smakexplosion! ;https://via.placeholder.com/800/FD7463/FFFFFF/?text=Picture%20Coming%20Soon;4;30
8;Kyckling med majskräm och rostad potatis;Att skapa en rätt som har det där lilla extra sitter verkligen i tillbehören. Denna gång i majskrämen och den ugnsrostade potatisen. Och med spiskumminen som får smaksätta kycklingen passar det perfekt.;https://via.placeholder.com/800/FD7463/FFFFFF/?text=Picture%20Coming%20Soon;4;45
9;Ljummen guacamolepasta med paprika- och svartbönsallad;Om du känner dig tveksam när du hör guacamolepasta kommer du bli glatt överraskad. Det är nämligen en riktig höjdare! Och bönsalladen gör minst sagt sitt som tillbehör. En supersmarrig rätt helt enkelt. ;https://images.unsplash.com/photo-1473093295043-cdd812d0e601?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MXx8cGFzdGElMjBzYWxhZHxlbnwwfHwwfHw%3D&ixlib=rb-1.2.1&w=1000&q=80;4;45
10;Kalkonfärslasagne med hjärtsallad;Lasagne gjord på kalkonfärs är en riktig höjdare. Också en perfekt rätt att laga någon dag innan den ska ätas, om du skulle ha bråttom en annan dag. Också perfekt att frysa in om det blir över.;https://images.unsplash.com/photo-1619895092538-128341789043?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1000&q=80;4;45
11;Lax teriyaki med pak choi;Tänk att en marinad kan lyfta en rätt så lätt! Med teriyaki blir den här laxrätten komplett. Nu ska vi sluta rimma och njuta av maten istället.;https://images.unsplash.com/photo-1509402308-817902776267?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MXx8c2FsbW9uJTIwdGVyaXlha2l8ZW58MHx8MHx8&ixlib=rb-1.2.1&w=1000&q=80;4;30
12;Kronärtskockspasta med lufttorkad skinka;Här kommer en smarrig pasta. Kronärtskockskrämen tillför en härlig smak av kronärtskocka, vitlök och örter som gifter sig med broccolin alldeles finfint. Till pastan serveras lufttorkad skinka och sallad. Ät och njut.;https://images.unsplash.com/photo-1560434019-4558f9a9e2a1?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTZ8fHNwYWdoZXR0aSUyMHByb3NjdWl0dG98ZW58MHx8MHx8&ixlib=rb-1.2.1&w=1000&q=80;4;45
14;Vårrullar med jordnötsdipp;Idag står det asiatiskt på schemat! Detta är en social och rolig rätt som delvis görs klar när ni sitter vid bordet. Börja med att förbereda jordnötsdippen och skär upp tofun och grönsakerna i stavar och strimlor. När ni sitter till bords doppar var och en sitt eget rispapper och gör sina egna vårrullar. Servera tillsammans med ris. Mums!;https://images.unsplash.com/photo-1618406854423-ef169758d6a6?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MXx8c3ByaW5ncm9sbHN8ZW58MHx8MHx8&ixlib=rb-1.2.1&w=1000&q=80;4;30
15;Potatiskakor med kantareller och pepparrotskräm;Den mångsidiga potatisen här i form av vegetariska biffar som smaksätts med senapsvinägrett och rödlök och äts tillsammans med stekta kantareller, pepparrotskräm och inlagd gurka med smak av dill.;https://via.placeholder.com/800/FD7463/FFFFFF/?text=Picture%20Coming%20Soon;4;60
16;Linscurry med kokosmjölk och lime;Bjud smaklökarna på en ljuvlig linscurry. Här möts läckra smaker som curry, tomat och krämig kokosmjölk med hetta från både ingefära och sambal oelek. Servera knapriga cashewnötter som tillbehör och pressa över lite syrlig lime för at lyfta fram smakerna ytterligare.;https://via.placeholder.com/800/FD7463/FFFFFF/?text=Picture%20Coming%20Soon;4;45
